[2026-02-13 11:57:40] | User: ABD66 | Action: User Registered
[2026-02-13 11:58:03] | User: ABD66 | Action: Successful Login
[2026-02-13 11:58:41] | User: ABD66 | Action: Ticket Created
[2026-02-13 11:58:54] | User: ABD66 | Action: Employee Logout
[2026-02-13 11:59:42] | User: 28OC | Action: Successful Login
[2026-02-13 11:59:59] | User: 28OC | Action: Updated Ticket 8 to Open
[2026-02-13 12:00:11] | User: 28OC | Action: Exported Tickets to CSV
[2026-02-13 12:00:12] | User: 28OC | Action: Admin Logout
[2026-02-13 12:04:21] | User: Jayant60 | Action: Successful Login
[2026-02-13 12:06:42] | User: Jayant60 | Action: Ticket Created
[2026-02-13 12:07:08] | User: Jayant60 | Action: Employee Logout
[2026-02-13 12:07:27] | User: ACC90 | Action: Failed Login Attempt
[2026-02-13 12:07:59] | User: UltraTech80$ | Action: Successful Login
[2026-02-13 12:08:31] | User: UltraTech80$ | Action: Updated Ticket 9 to In Progress
[2026-02-13 12:08:54] | User: UltraTech80$ | Action: Exported Tickets to CSV
[2026-02-13 12:09:03] | User: UltraTech80$ | Action: Admin Logout
[2026-02-13 12:14:32] | User: System | Action: System Exit
[2026-02-13 13:12:16] | User: Prafull18 | Action: Successful Login
[2026-02-13 13:12:37] | User: Prafull18 | Action: Successful Login
[2026-02-13 13:13:12] | User: Prafull18 | Action: Successful Login
[2026-02-13 13:14:05] | User: Prafull18 | Action: Successful Login
[2026-02-13 13:14:56] | User: SAM4 | Action: Failed Login Attempt
[2026-02-13 13:15:12] | User: SAM4 | Action: Failed Login Attempt
[2026-02-13 13:15:19] | User: Sam4 | Action: Successful Login
[2026-02-13 13:16:14] | User: Sam4 | Action: Successful Login
